date,Altcoin Market Cap,Bitcoin Market Cap,Total Market Cap
1455840000.0,1049336675.44,6435326200.45,7484662875.889999
1455926400.0,1038201481.35,6659557330.12,7697758811.47
1456099200.0,1146660871.88,6685299212.3,7831960084.18
1456185600.0,1126162910.0,6396818224.93,7522981134.93
1456272000.0,1190031281.94,6420899755.28,7610931037.219999
1456358400.0,1144723512.36,6467023017.0,7611746529.36
1456444800.0,1163213801.35,6565982455.5,7729196256.85
1456531200.0,1190882108.55,6506687805.75,7697569914.3
1456617600.0,1213689058.82,6675612710.38,7889301769.2
1456704000.0,1199683494.71,6662446584.05,7862130078.76
1456790400.0,1284278995.98,6626506923.6,7910785919.58
1456876800.0,1360790694.99,6426973080.0,7787763774.99
1456963200.0,1418304737.54,6493828921.85,7912133659.39
1457049600.0,1522505589.11,6249195621.25,7771701210.36
1457136000.0,1601892438.79,6148846166.07,7750738604.86
1457222400.0,1558510511.98,6265639929.32,7824150441.299999
1457308800.0,1437762498.99,6361940474.92,7799702973.91
1457395200.0,1564342422.79,6299091353.88,7863433776.67
1457481600.0,1691662338.12,6326757581.73,8018419919.849999
1457568000.0,1625951701.56,6452303123.18,8078254824.74
1457654400.0,1842807331.17,6365190924.4,8207998255.57
1457740800.0,1895847551.59,6339923028.75,8235770580.34
1457827200.0,1857129834.84,6378073330.2,8235203165.04
1457913600.0,1764387711.08,6401551664.38,8165939375.46
1458000000.0,1823188070.34,6380556370.17,8203744440.51
1458086400.0,1756195684.28,6435605950.3,8191801634.58
1458172800.0,1598552862.54,6402774683.9,8001327546.44
1458259200.0,1530286736.92,6281751133.9,7812037870.82
1458345600.0,1597868187.38,6319501647.6,7917369834.9800005
1458432000.0,1588622949.55,6305552571.73,7894175521.28
1458518400.0,1683775130.75,6398392346.1,8082167476.85
1458604800.0,1717452939.06,6423460341.9,8140913280.959999
1458691200.0,1686576720.18,6418763922.4,8105340642.58
1458777600.0,1649153057.99,6393016010.05,8042169068.04
1458864000.0,1656810351.59,6421104932.02,8077915283.610001
1458950400.0,1667786313.22,6422508694.05,8090295007.27
1459036800.0,1683013932.77,6549309182.85,8232323115.620001
1459123200.0,1693256223.09,6522271609.68,8215527832.77
1459209600.0,1720266767.3,6370307496.75,8090574264.05
1459296000.0,1710359398.95,6405171784.05,8115531183.0
1459382400.0,1699554623.75,6405705894.0,8105260517.75
1459468800.0,1680677651.12,6473908571.9,8154586223.0199995
1459555200.0,1695383085.86,6466468893.52,8161851979.38
1459641600.0,1708561573.42,6500566194.53,8209127767.95
1459728000.0,1644458497.38,6521821509.45,8166280006.83
1459814400.0,1599748448.33,6533235834.9,8132984283.23
1459900800.0,1614980796.13,6501247179.9,8116227976.03
1459987200.0,1550679274.21,6532873176.15,8083552450.36
1460073600.0,1530373024.12,6438285674.15,7968658698.2699995
1460160000.0,1398842486.95,6473485254.3,7872327741.25
1460246400.0,1373917608.0,6495266900.18,7869184508.18
1460332800.0,1311359203.27,6561977002.8,7873336206.07
1460419200.0,1262584892.28,6560529803.1,7823114695.38
1460505600.0,1349422720.15,6531992080.57,7881414800.719999
1460592000.0,1371921935.97,6560001051.2,7931922987.17
1460678400.0,1359430368.41,6654426699.75,8013857068.16
1460764800.0,1406777279.52,6633200452.73,8039977732.25
